origin,destination,country,region,ai_current_rate_usd_feu,ai_forecast_rate_usd_feu_3mo,ai_pct_change,ai_note,ai_provider,ai_model,ai_confidence,fetched_at
ICD Dhannad,Dammam,Saudi Arabia,Middle East,1409.0,1339.0,-5.0,"Short-haul Gulf lane, minimal Suez/Cape exposure",benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Dhannad,Bandar Abbas,Iran,Middle East,1431.0,1359.0,-5.0,"Short-haul Gulf lane, minimal Suez/Cape exposure",benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Dhannad,Kuwait City,Kuwait,Middle East,1317.0,1251.0,-5.0,"Short-haul Gulf lane, minimal Suez/Cape exposure",benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Dhannad,Hamad Port (Doha),Qatar,Middle East,1295.0,1230.0,-5.0,"Short-haul Gulf lane, minimal Suez/Cape exposure",benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Dhannad,Sohar,Oman,Middle East,1341.0,1274.0,-5.0,"Short-haul Gulf lane, minimal Suez/Cape exposure",benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Dhannad,Jeddah,Saudi Arabia,Red Sea / East Africa,1732.0,1628.0,-6.0,Direct Red Sea corridor risk premium persists,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Dhannad,Port Sudan,Sudan,Red Sea / East Africa,2300.0,2162.0,-6.0,Direct Red Sea corridor risk premium persists,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Dhannad,Djibouti,Djibouti,Red Sea / East Africa,2105.0,1979.0,-6.0,Direct Red Sea corridor risk premium persists,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Dhannad,Aqaba,Jordan,Red Sea / East Africa,2065.0,1941.0,-6.0,Direct Red Sea corridor risk premium persists,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Dhannad,Suez,Egypt,Red Sea / East Africa,2282.0,2145.0,-6.0,Direct Red Sea corridor risk premium persists,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Dhannad,Piraeus,Greece,Europe (Mediterranean),4101.0,3773.0,-8.0,Cape diversion adding transit cost to Europe calls,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Dhannad,Genoa,Italy,Europe (Mediterranean),4320.0,3974.0,-8.0,Cape diversion adding transit cost to Europe calls,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Dhannad,Barcelona,Spain,Europe (Mediterranean),4360.0,4011.0,-8.0,Cape diversion adding transit cost to Europe calls,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Dhannad,Marseille,France,Europe (Mediterranean),4552.0,4188.0,-8.0,Cape diversion adding transit cost to Europe calls,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Dhannad,Valencia,Spain,Europe (Mediterranean),4396.0,4044.0,-8.0,Cape diversion adding transit cost to Europe calls,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Dhannad,Gioia Tauro,Italy,Europe (Mediterranean),4624.0,4254.0,-8.0,Cape diversion adding transit cost to Europe calls,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Dhannad,Ambarli (Istanbul),Turkey,Europe (Mediterranean),4343.0,3996.0,-8.0,Cape diversion adding transit cost to Europe calls,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Dhannad,Rotterdam,Netherlands,Europe (North),5355.0,4927.0,-8.0,Cape diversion adding transit cost to Europe calls,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Dhannad,Hamburg,Germany,Europe (North),5782.0,5319.0,-8.0,Cape diversion adding transit cost to Europe calls,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Dhannad,Antwerp,Belgium,Europe (North),5130.0,4720.0,-8.0,Cape diversion adding transit cost to Europe calls,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Dhannad,Felixstowe,United Kingdom,Europe (North),5281.0,4859.0,-8.0,Cape diversion adding transit cost to Europe calls,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Dhannad,Le Havre,France,Europe (North),5473.0,5035.0,-8.0,Cape diversion adding transit cost to Europe calls,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Dhannad,New York/New Jersey,USA,US East Coast,7778.0,7000.0,-10.0,Cape diversion + Panama draft limits keep US rates elevated,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Dhannad,Savannah,USA,US East Coast,7657.0,6891.0,-10.0,Cape diversion + Panama draft limits keep US rates elevated,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Dhannad,Norfolk,USA,US East Coast,8104.0,7294.0,-10.0,Cape diversion + Panama draft limits keep US rates elevated,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Dhannad,Charleston,USA,US East Coast,8008.0,7207.0,-10.0,Cape diversion + Panama draft limits keep US rates elevated,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Dhannad,Baltimore,USA,US East Coast,8674.0,7807.0,-10.0,Cape diversion + Panama draft limits keep US rates elevated,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Dhannad,Houston,USA,US Gulf / Caribbean / Latin America,8662.0,7796.0,-10.0,Cape diversion + Panama draft limits keep US rates elevated,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Dhannad,New Orleans,USA,US Gulf / Caribbean / Latin America,8420.0,7578.0,-10.0,Cape diversion + Panama draft limits keep US rates elevated,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Dhannad,Cartagena,Colombia,US Gulf / Caribbean / Latin America,4231.0,3977.0,-6.0,Panama transit constraints add modest premium,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Dhannad,Balboa,Panama,US Gulf / Caribbean / Latin America,3961.0,3723.0,-6.0,Panama transit constraints add modest premium,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Dhannad,Kingston,Jamaica,US Gulf / Caribbean / Latin America,3902.0,3668.0,-6.0,Panama transit constraints add modest premium,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Dhannad,Lagos,Nigeria,Africa / South America (Cape),4237.0,3940.0,-7.0,Cape of Good Hope congestion and diversion premium,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Dhannad,Tema,Ghana,Africa / South America (Cape),4489.0,4175.0,-7.0,Cape of Good Hope congestion and diversion premium,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Dhannad,Durban,South Africa,Africa / South America (Cape),3647.0,3392.0,-7.0,Cape of Good Hope congestion and diversion premium,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Dhannad,Cape Town,South Africa,Africa / South America (Cape),3673.0,3416.0,-7.0,Cape of Good Hope congestion and diversion premium,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Dhannad,Santos,Brazil,Africa / South America (Cape),4404.0,4096.0,-7.0,Cape of Good Hope congestion and diversion premium,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Dhannad,Buenos Aires,Argentina,Africa / South America (Cape),5088.0,4732.0,-7.0,Cape of Good Hope congestion and diversion premium,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Dhannad,Mombasa,Kenya,Indian Ocean Rim,1197.0,1149.0,-4.0,"Regional lane, limited Red Sea/Cape spillover",benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Dhannad,Dar es Salaam,Tanzania,Indian Ocean Rim,1247.0,1197.0,-4.0,"Regional lane, limited Red Sea/Cape spillover",benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Dhannad,Colombo,Sri Lanka,Indian Ocean Rim,962.0,924.0,-4.0,"Regional lane, limited Red Sea/Cape spillover",benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Dhannad,Port Louis,Mauritius,Indian Ocean Rim,1433.0,1376.0,-4.0,"Regional lane, limited Red Sea/Cape spillover",benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Dhannad,Karachi,Pakistan,Indian Ocean Rim,1021.0,980.0,-4.0,"Regional lane, limited Red Sea/Cape spillover",benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Dhannad,Los Angeles/Long Beach,USA,Pacific (US West / Oceania),7131.0,6489.0,-9.0,Trans-shipment capacity crunch keeping US West Coast elevated,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Dhannad,Oakland,USA,Pacific (US West / Oceania),7380.0,6716.0,-9.0,Trans-shipment capacity crunch keeping US West Coast elevated,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Dhannad,Seattle/Tacoma,USA,Pacific (US West / Oceania),6864.0,6246.0,-9.0,Trans-shipment capacity crunch keeping US West Coast elevated,benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Dhannad,Vancouver,Canada,Pacific (US West / Oceania),3089.0,2935.0,-5.0,"General freight market firmness, limited disruption exposure",benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Dhannad,Melbourne,Australia,Pacific (US West / Oceania),2716.0,2580.0,-5.0,"General freight market firmness, limited disruption exposure",benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Dhannad,Sydney,Australia,Pacific (US West / Oceania),2928.0,2782.0,-5.0,"General freight market firmness, limited disruption exposure",benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Dhannad,Auckland,New Zealand,Pacific (US West / Oceania),2833.0,2691.0,-5.0,"General freight market firmness, limited disruption exposure",benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Dhannad,Singapore,Singapore,Intra-Asia,897.0,861.0,-4.0,"Short-haul Asia lane, largely insulated from Suez risk",benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Dhannad,Port Klang,Malaysia,Intra-Asia,860.0,826.0,-4.0,"Short-haul Asia lane, largely insulated from Suez risk",benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Dhannad,Laem Chabang,Thailand,Intra-Asia,996.0,956.0,-4.0,"Short-haul Asia lane, largely insulated from Suez risk",benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Dhannad,Ho Chi Minh City (Cat Lai),Vietnam,Intra-Asia,1031.0,990.0,-4.0,"Short-haul Asia lane, largely insulated from Suez risk",benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Dhannad,Shanghai,China,Intra-Asia,1164.0,1117.0,-4.0,"Short-haul Asia lane, largely insulated from Suez risk",benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Dhannad,Ningbo,China,Intra-Asia,1262.0,1212.0,-4.0,"Short-haul Asia lane, largely insulated from Suez risk",benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Dhannad,Yantian (Shenzhen),China,Intra-Asia,1179.0,1132.0,-4.0,"Short-haul Asia lane, largely insulated from Suez risk",benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Dhannad,Busan,South Korea,Intra-Asia,1399.0,1343.0,-4.0,"Short-haul Asia lane, largely insulated from Suez risk",benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
ICD Dhannad,Yokohama,Japan,Intra-Asia,1414.0,1357.0,-4.0,"Short-haul Asia lane, largely insulated from Suez risk",benchmark_anchor,route-exposure-anchor-v1,calibration_fill,2026-08-04T19:54:22+00:00
